timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,95,522,318,153,106,-32.99,4.15,-1121.89,-8406.89,12869.33,349.70,-106.46,427.06
10,95,522,317,152,105,-33.23,4.17,-1124.99,-8440.54,12874.27,282.12,-96.19,431.01
20,95,521,319,152,105,-33.23,4.14,-1123.14,-8503.72,12886.75,323.71,-94.53,419.21
30,94,522,317,151,105,-32.88,4.24,-1135.18,-8487.13,12902.62,371.73,-81.41,404.70
40,95,522,317,153,105,-33.03,4.28,-1142.63,-8474.97,12906.08,301.14,-75.38,397.31
50,94,521,318,153,106,-33.39,4.21,-1141.49,-8501.22,12915.98,218.43,-73.77,391.05
60,95,521,318,152,104,-33.55,4.21,-1138.62,-8564.76,12927.18,223.46,-69.68,365.40
70,95,522,319,153,106,-33.26,4.26,-1137.49,-8553.52,12941.62,269.49,-52.99,335.73
80,95,522,318,153,105,-33.19,4.24,-1140.41,-8526.25,12955.94,234.31,-59.04,314.89
90,95,521,318,153,105,-33.36,4.24,-1142.79,-8516.54,12967.74,153.85,-66.39,301.09
100,96,522,318,153,105,-33.51,4.19,-1147.45,-8557.11,12982.56,135.16,-79.92,286.29
110,95,522,319,153,106,-33.34,4.22,-1153.08,-8542.45,12986.23,153.45,-74.73,267.63
120,95,522,318,152,105,-33.41,4.22,-1160.43,-8522.53,12983.12,113.68,-78.69,258.59
130,95,522,319,153,105,-33.52,4.24,-1161.01,-8557.60,12977.56,111.54,-66.51,243.11
140,95,521,320,153,106,-33.32,4.39,-1177.36,-8532.52,12976.08,130.16,-48.53,231.21
150,95,522,318,153,106,-33.35,4.47,-1190.09,-8536.10,12981.08,117.91,-44.10,226.95
160,95,522,318,153,106,-33.33,4.57,-1202.38,-8525.69,12987.82,96.56,-33.70,226.65
170,95,522,318,153,106,-33.41,4.63,-1206.66,-8536.21,12996.83,74.33,-16.01,231.42
180,95,522,319,153,105,-33.45,4.69,-1200.93,-8550.60,12995.99,81.92,9.29,229.00
190,95,522,319,153,105,-33.37,4.77,-1198.08,-8549.47,12996.59,91.87,35.37,217.75
200,95,522,319,154,106,-33.37,4.78,-1196.38,-8530.19,13002.56,60.98,50.70,215.06
210,95,522,318,153,105,-33.55,4.81,-1193.16,-8541.08,13002.43,20.33,71.82,215.41
220,95,522,319,153,106,-33.62,4.86,-1189.70,-8581.03,13000.31,44.71,98.88,205.29
230,95,522,320,153,105,-33.42,4.94,-1190.22,-8570.58,13008.09,89.88,128.13,186.42
240,95,522,320,154,106,-33.38,5.00,-1203.31,-8551.85,13018.49,65.68,137.58,181.55
250,95,522,319,153,106,-33.60,5.00,-1206.34,-8578.26,13028.36,20.70,139.25,183.07
260,95,522,319,154,106,-33.73,4.97,-1209.02,-8632.34,13046.55,26.41,140.24,171.77
270,95,521,319,154,105,-33.65,4.94,-1212.57,-8634.93,13054.82,40.84,132.82,154.13
280,95,522,319,153,106,-33.74,4.89,-1218.74,-8637.38,13052.08,16.85,117.78,135.27
290,95,522,319,153,107,-33.82,4.79,-1207.81,-8644.71,13048.87,-0.84,108.74,109.11
300,95,522,319,153,106,-33.78,4.81,-1208.42,-8647.08,13042.63,9.45,113.96,87.46
310,95,522,318,154,106,-33.67,4.85,-1211.80,-8628.12,13042.70,19.28,115.21,68.28
320,95,522,319,153,106,-33.64,4.88,-1225.01,-8605.52,13048.16,-7.19,102.40,62.37
330,95,522,320,153,106,-33.78,4.77,-1230.36,-8633.64,13052.95,-19.13,81.08,54.40
340,95,522,320,153,106,-33.67,4.83,-1233.04,-8632.96,13044.71,12.73,82.82,46.08
350,94,522,319,154,106,-33.65,4.87,-1240.59,-8626.11,13044.47,16.94,78.73,41.48
360,95,522,321,153,106,-33.70,4.86,-1248.16,-8632.80,13039.85,9.85,76.35,38.40
370,95,522,320,154,106,-33.66,4.85,-1251.55,-8635.36,13031.86,16.00,68.83,33.83
380,95,521,320,154,106,-33.64,4.86,-1254.17,-8640.79,13028.46,27.75,74.19,32.99
390,95,522,319,154,106,-33.52,4.90,-1262.06,-8609.35,13039.64,8.77,73.88,33.89
400,95,522,318,154,106,-33.62,4.85,-1260.56,-8630.09,13032.46,8.83,65.38,36.45
410,95,522,319,154,106,-33.51,4.83,-1256.93,-8607.58,13032.23,11.24,64.47,42.12
420,95,522,320,154,106,-33.54,4.78,-1254.28,-8606.80,13031.02,0.02,55.24,49.22
430,95,522,320,154,107,-33.59,4.72,-1249.37,-8614.46,13042.87,-15.48,48.08,51.71
440,95,522,320,153,106,-33.57,4.68,-1243.30,-8621.54,13053.73,-8.70,43.23,53.12
450,95,522,319,154,106,-33.55,4.63,-1240.54,-8612.66,13062.64,-19.87,30.71,59.37
460,94,522,320,154,106,-33.69,4.52,-1236.71,-8622.83,13070.71,-47.27,13.03,72.30
470,95,522,321,154,106,-33.80,4.42,-1224.27,-8655.09,13069.57,-49.91,-4.07,72.93
480,95,522,322,154,106,-33.75,4.35,-1214.06,-8661.33,13064.10,-25.57,-11.22,61.69
490,95,522,320,154,106,-33.89,4.31,-1211.96,-8667.87,13061.69,-58.19,-23.96,52.80
500,95,522,320,154,107,-34.04,4.23,-1193.76,-8709.67,13051.20,-46.13,-29.46,37.76
510,95,521,321,154,106,-33.78,4.23,-1187.27,-8697.39,13048.24,9.83,-20.99,20.37
520,95,522,321,154,106,-33.62,4.22,-1183.31,-8664.32,13044.23,17.09,-21.64,7.20
530,95,522,321,154,106,-33.68,4.20,-1180.94,-8671.30,13055.62,-1.82,-24.96,-0.31
540,96,522,321,154,106,-33.70,4.24,-1186.10,-8673.94,13065.64,-15.13,-24.61,-1.14
550,95,522,321,155,106,-33.70,4.19,-1186.59,-8670.24,13065.16,-20.17,-35.53,-6.23
560,95,522,321,154,106,-33.72,4.13,-1176.06,-8646.13,13058.10,-49.21,-40.30,-7.42
570,95,522,320,154,106,-33.90,4.12,-1173.86,-8640.22,13053.79,-111.40,-43.99,1.90
580,95,522,321,155,107,-34.15,4.09,-1170.17,-8663.81,13051.90,-159.43,-50.94,6.75
590,95,522,320,154,106,-34.24,4.05,-1176.26,-8615.22,13048.71,-247.61,-73.54,17.37
600,95,522,319,155,107,-34.98,3.87,-1175.04,-8626.06,13043.67,-442.58,-119.86,45.85
610,95,521,321,154,106,-35.60,3.63,-1154.49,-8737.56,13031.69,-491.65,-160.22,55.61
620,95,522,320,155,106,-35.34,3.56,-1125.57,-8769.08,13011.90,-377.72,-154.66,47.73
630,95,521,321,154,106,-35.13,3.56,-1116.69,-8751.42,12996.71,-336.63,-143.78,38.94
640,94,521,321,154,106,-35.30,3.60,-1105.65,-8767.65,12981.87,-357.75,-130.39,27.24
650,94,521,321,154,106,-35.22,3.58,-1102.17,-8793.07,12969.38,-308.16,-123.97,16.18
660,95,521,322,154,107,-34.99,3.58,-1093.66,-8778.22,12956.11,-245.55,-120.57,10.67
670,95,521,321,155,107,-34.93,3.58,-1081.78,-8753.51,12931.70,-243.23,-106.14,20.19
680,95,521,322,155,107,-35.07,3.60,-1071.69,-8777.03,12919.52,-248.62,-89.68,35.38
690,95,521,322,155,107,-35.06,3.69,-1070.11,-8818.78,12919.54,-204.93,-62.70,39.96
700,95,521,321,155,106,-35.02,3.76,-1072.60,-8819.84,12927.57,-196.64,-49.11,43.31
710,95,521,322,155,106,-35.25,3.75,-1066.17,-8855.05,12937.39,-231.01,-41.46,52.05
720,95,521,321,154,106,-35.32,3.77,-1066.66,-8885.49,12939.32,-220.81,-33.89,41.24
730,95,522,321,155,107,-35.33,3.77,-1059.33,-8878.22,12940.15,-231.27,-30.54,34.43
740,94,521,321,155,107,-35.40,3.71,-1054.36,-8878.11,12937.34,-258.45,-35.46,41.26
750,94,521,321,155,107,-35.48,3.65,-1044.24,-8894.80,12934.68,-265.18,-39.04,47.75
760,94,521,321,155,107,-35.43,3.63,-1044.83,-8897.86,12941.34,-260.92,-41.74,54.06
770,95,521,322,155,107,-35.47,3.54,-1041.19,-8895.17,12936.08,-271.02,-53.75,64.51
780,95,521,322,155,107,-35.55,3.46,-1039.13,-8936.81,12940.87,-259.17,-68.16,64.03
790,95,521,322,155,107,-35.37,3.40,-1022.57,-8942.77,12933.63,-201.26,-65.36,55.18
800,95,521,321,155,107,-35.16,3.42,-1017.25,-8925.83,12923.35,-162.80,-54.84,55.12
810,94,521,322,155,107,-35.21,3.42,-1019.18,-8908.54,12921.98,-194.46,-57.60,59.56
820,94,521,322,155,107,-35.39,3.38,-1011.82,-8962.11,12921.48,-186.14,-58.97,60.84
830,95,521,322,156,107,-35.13,3.37,-1003.83,-8958.21,12925.00,-127.03,-58.87,58.34
840,95,521,320,155,107,-35.16,3.35,-995.84,-8942.50,12916.35,-146.38,-60.63,66.48
850,94,521,321,155,107,-35.41,3.30,-990.65,-8965.17,12899.94,-179.46,-70.64,70.45
860,94,522,323,155,107,-35.44,3.25,-978.92,-8992.11,12883.94,-144.94,-77.56,62.33
870,94,521,322,155,107,-35.39,3.21,-966.97,-8977.31,12862.94,-133.24,-70.08,57.56
880,95,521,323,155,107,-35.52,3.24,-957.22,-8983.64,12864.39,-159.73,-55.68,68.69
890,94,521,323,155,108,-35.59,3.20,-952.16,-9014.26,12865.97,-147.79,-51.35,70.15
900,94,522,324,155,106,-35.52,3.26,-948.35,-9016.15,12861.08,-121.40,-39.73,66.09
910,95,521,324,155,107,-35.57,3.25,-944.94,-9009.14,12857.62,-142.93,-37.09,66.04
920,95,521,323,156,107,-35.74,3.23,-934.89,-9028.88,12849.54,-164.64,-29.44,67.79
930,95,522,322,155,107,-35.78,3.26,-933.14,-9038.84,12841.66,-163.55,-24.52,69.00
940,95,521,322,156,107,-35.83,3.27,-930.49,-9038.90,12836.18,-176.58,-21.59,76.30
950,95,521,323,155,106,-35.94,3.29,-932.56,-9043.95,12837.17,-208.00,-23.26,85.73
960,95,521,322,155,107,-36.07,3.30,-932.33,-9063.75,12836.91,-226.20,-18.80,91.85
970,95,521,323,156,108,-36.10,3.34,-932.72,-9077.97,12827.87,-226.44,-11.81,95.50
980,95,521,323,156,108,-36.17,3.34,-928.48,-9064.67,12819.47,-252.07,-7.62,98.38
990,95,521,322,156,108,-36.36,3.34,-925.46,-9090.23,12810.30,-273.56,-2.79,104.01
1000,95,521,324,156,108,-36.28,3.33,-918.98,-9102.72,12802.98,-240.73,4.75,99.26
1010,95,521,324,155,108,-36.20,3.38,-921.64,-9093.39,12796.43,-243.35,13.42,102.60
1020,95,521,323,156,107,-36.34,3.39,-927.75,-9115.52,12801.61,-265.88,16.04,111.37
1030,95,521,323,155,108,-36.33,3.39,-924.17,-9147.14,12803.73,-230.64,16.39,108.55
1040,95,521,323,155,108,-36.27,3.39,-926.96,-9141.98,12806.94,-223.30,10.42,102.67
1050,95,521,323,156,107,-36.43,3.34,-924.21,-9162.08,12803.60,-251.69,4.30,98.04
1060,95,521,323,156,108,-36.52,3.34,-922.00,-9179.98,12789.62,-249.20,5.54,91.34
1070,95,521,323,156,107,-36.53,3.34,-918.50,-9178.38,12775.54,-244.84,10.01,82.32
1080,95,520,323,156,108,-36.62,3.33,-919.37,-9195.86,12776.16,-248.10,8.21,79.05
1090,95,521,323,156,108,-36.58,3.35,-922.21,-9217.07,12774.35,-223.90,7.60,77.75
1100,95,521,324,156,108,-36.61,3.35,-926.30,-9222.02,12770.03,-225.85,-0.08,79.96
1110,95,521,324,155,108,-36.72,3.29,-919.98,-9241.12,12766.33,-232.11,-3.63,80.71
1120,95,521,324,156,107,-36.74,3.28,-921.58,-9247.06,12760.41,-230.50,-9.40,75.08
1130,95,521,324,156,108,-36.85,3.23,-917.30,-9247.51,12752.59,-267.63,-21.83,74.87
1140,95,521,323,155,108,-36.96,3.20,-912.44,-9290.13,12741.56,-245.25,-24.88,72.88
1150,95,521,324,156,108,-36.81,3.19,-913.22,-9275.42,12736.29,-218.64,-26.89,70.34
1160,95,520,324,156,108,-36.88,3.16,-910.75,-9268.85,12724.47,-240.30,-33.30,75.72
1170,95,521,324,156,108,-37.01,3.14,-906.02,-9296.41,12710.65,-248.59,-42.23,73.83
1180,95,521,324,155,108,-36.98,3.13,-900.72,-9292.99,12695.12,-233.36,-40.77,73.29
1190,95,521,325,155,108,-37.00,3.13,-899.28,-9289.54,12687.76,-234.19,-41.38,78.33
1200,94,520,325,155,107,-37.06,3.15,-894.12,-9298.66,12683.57,-242.98,-38.21,84.81
1210,95,520,323,156,108,-37.08,3.15,-898.21,-9317.33,12685.19,-239.43,-38.50,84.12
1220,95,521,323,156,108,-37.09,3.20,-900.90,-9328.06,12680.33,-227.56,-32.88,82.21
1230,95,521,325,156,107,-37.07,3.21,-903.45,-9318.26,12673.52,-239.93,-38.28,85.90
1240,96,521,326,156,108,-37.26,3.16,-897.88,-9333.35,12670.04,-278.29,-47.27,94.91
1250,95,521,324,156,108,-37.24,3.07,-883.99,-9350.28,12656.14,-243.12,-51.20,96.41
1260,95,521,324,155,108,-37.17,3.08,-866.99,-9326.56,12640.13,-241.62,-39.04,103.64
1270,95,521,325,157,108,-37.36,3.12,-864.24,-9334.04,12638.53,-285.63,-27.64,108.76
1280,95,521,325,156,108,-37.57,3.08,-852.83,-9365.53,12629.80,-305.80,-18.91,110.82
1290,95,521,326,156,108,-37.66,3.17,-841.79,-9364.26,12604.11,-311.96,11.94,117.88
1300,95,521,323,155,108,-37.86,3.28,-843.30,-9367.45,12576.90,-347.86,41.79,132.69
1310,95,521,327,156,108,-37.95,3.32,-841.33,-9410.67,12565.66,-324.87,60.40,135.05
1320,95,521,326,156,108,-37.84,3.44,-847.86,-9427.94,12567.57,-279.28,90.38,135.20
1330,95,520,325,156,107,-37.81,3.54,-860.47,-9449.94,12570.19,-256.66,100.06,129.39
1340,94,521,324,156,108,-37.90,3.54,-862.25,-9472.84,12563.48,-257.18,98.31,124.32
1350,95,521,325,156,109,-37.93,3.52,-864.74,-9507.40,12556.71,-226.62,96.89,114.65
1360,95,521,324,156,108,-37.86,3.54,-870.70,-9509.83,12551.67,-202.54,97.30,110.32
1370,95,521,324,156,108,-37.93,3.51,-876.16,-9499.74,12542.49,-228.71,81.58,107.91
1380,96,520,326,156,109,-38.19,3.44,-874.96,-9511.35,12522.96,-277.63,63.50,112.71
1390,95,521,324,156,108,-38.36,3.35,-874.21,-9556.99,12517.42,-279.05,48.38,106.78
1400,95,520,324,156,109,-38.26,3.31,-868.50,-9545.54,12502.75,-254.94,46.26,99.04
1410,95,521,326,157,108,-38.33,3.33,-872.67,-9526.66,12489.01,-292.75,43.05,95.43
1420,95,521,326,156,108,-38.56,3.28,-873.64,-9563.73,12488.96,-316.91,33.89,95.21
1430,95,521,326,157,108,-38.43,3.25,-867.56,-9565.94,12478.31,-272.81,36.20,88.85
1440,95,521,325,157,108,-38.38,3.23,-865.98,-9540.84,12468.79,-284.02,33.34,90.36
1450,95,521,326,157,108,-38.55,3.22,-865.28,-9560.60,12470.55,-313.92,33.62,88.99
1460,95,521,325,156,107,-38.56,3.24,-868.62,-9583.57,12474.83,-298.43,34.84,81.94
1470,95,521,325,156,108,-38.45,3.21,-872.79,-9571.99,12478.08,-294.90,28.05,77.49
1480,95,521,325,156,108,-38.52,3.18,-870.15,-9571.19,12475.18,-318.21,19.30,84.37
1490,96,521,326,157,108,-38.63,3.17,-872.04,-9606.03,12482.42,-315.05,9.48,88.70
1500,95,521,327,157,108,-38.50,3.13,-870.44,-9624.13,12473.30,-267.70,0.66,82.97
1510,95,521,325,156,108,-38.44,3.08,-874.91,-9613.72,12462.84,-262.06,-13.53,83.62
1520,95,521,328,157,108,-38.61,3.06,-878.17,-9627.04,12448.69,-286.31,-26.65,86.94
1530,95,521,326,157,108,-38.67,3.00,-869.66,-9627.29,12428.46,-283.39,-35.42,91.34
1540,95,520,327,157,106,-38.72,3.00,-866.78,-9594.12,12398.04,-304.77,-32.20,107.72
1550,96,521,327,156,108,-39.01,3.01,-866.04,-9621.42,12367.33,-331.83,-21.84,133.29
1560,95,521,325,157,109,-38.99,3.10,-873.94,-9663.94,12360.97,-286.29,-8.99,140.47
1570,96,521,325,156,108,-38.94,3.19,-884.04,-9667.75,12373.32,-272.28,-1.89,146.80
1580,95,521,326,157,109,-39.19,3.15,-887.64,-9706.76,12365.45,-300.96,-8.25,153.66
1590,95,521,326,157,108,-39.31,3.19,-890.66,-9739.42,12358.78,-302.22,2.51,154.78
1600,96,521,326,156,108,-39.30,3.18,-885.52,-9758.45,12352.24,-285.01,7.49,154.59
1610,96,521,326,156,109,-39.32,3.18,-884.85,-9753.33,12331.83,-282.51,4.81,151.66
1620,95,521,326,157,108,-39.37,3.14,-879.40,-9738.86,12316.44,-310.48,4.47,157.98
1630,95,521,326,156,109,-39.57,3.10,-869.43,-9747.72,12310.62,-358.46,-2.70,169.23
1640,95,520,327,157,108,-39.77,3.10,-872.76,-9778.13,12307.68,-386.73,-5.77,180.27
1650,96,521,327,157,108,-39.91,3.07,-874.32,-9797.23,12309.70,-401.70,-18.73,185.25
1660,96,521,326,157,108,-40.11,3.07,-879.61,-9816.36,12302.41,-439.76,-27.29,192.89
1670,96,521,326,157,109,-40.31,3.01,-878.63,-9857.55,12289.49,-445.47,-40.98,187.44
1680,95,521,326,156,109,-40.25,3.01,-876.30,-9866.27,12271.42,-418.55,-44.23,178.27
1690,96,521,327,157,109,-40.25,3.00,-875.48,-9867.16,12258.65,-414.17,-48.67,176.06
1700,96,521,328,157,109,-40.24,2.99,-874.11,-9878.20,12248.12,-397.81,-47.98,174.36
1710,95,521,326,157,109,-40.19,3.04,-880.00,-9885.89,12247.71,-386.17,-43.13,175.59
1720,95,521,327,157,109,-40.24,3.02,-878.40,-9908.19,12244.52,-378.31,-46.73,179.11
1730,95,521,326,156,108,-40.23,3.01,-877.68,-9924.18,12238.70,-358.75,-51.19,175.85
1740,95,521,326,157,108,-40.32,2.94,-869.80,-9929.77,12228.36,-365.86,-59.93,176.86
1750,96,521,327,157,108,-40.47,2.90,-860.11,-9949.28,12207.14,-375.72,-62.49,177.62
1760,95,521,326,157,109,-40.54,2.86,-854.30,-9965.62,12189.39,-369.33,-68.41,172.44
1770,96,521,326,158,109,-40.66,2.81,-852.59,-9975.74,12178.52,-386.97,-72.69,173.06
1780,95,521,328,157,109,-40.87,2.77,-851.76,-9995.95,12170.79,-424.02,-76.81,176.16
1790,95,521,326,157,109,-41.16,2.75,-849.17,-10037.15,12157.25,-452.67,-79.82,175.45
1800,96,521,327,157,108,-41.26,2.74,-842.91,-10074.10,12135.79,-438.18,-81.32,164.18
1810,95,521,325,157,109,-41.37,2.73,-845.57,-10090.19,12125.00,-444.22,-86.41,155.07
1820,95,521,327,157,109,-41.54,2.74,-846.29,-10113.48,12105.75,-459.76,-87.24,146.02
1830,95,521,326,156,109,-41.72,2.66,-831.77,-10129.61,12083.86,-481.32,-89.98,137.97
1840,95,521,327,157,109,-41.76,2.61,-815.78,-10144.13,12064.87,-470.31,-84.53,129.62
1850,95,521,326,157,109,-41.83,2.61,-812.00,-10144.72,12041.43,-477.84,-82.10,124.99
1860,95,521,327,156,109,-42.03,2.63,-815.40,-10173.08,12034.35,-505.45,-82.80,124.89
1870,95,521,326,157,109,-42.04,2.63,-809.83,-10207.43,12029.04,-477.18,-76.46,119.99
1880,96,521,327,157,109,-41.97,2.66,-808.33,-10206.86,12015.38,-457.72,-70.53,116.09
1890,96,521,327,157,108,-42.07,2.66,-808.12,-10225.11,11995.21,-455.68,-71.11,110.04
1900,95,521,328,157,109,-42.07,2.68,-805.71,-10233.06,11986.45,-447.75,-63.50,104.44
1910,96,521,327,157,109,-42.09,2.70,-807.83,-10245.20,11968.93,-433.61,-62.33,104.42
1920,95,521,327,158,109,-42.10,2.73,-797.44,-10250.54,11948.88,-418.63,-49.06,109.25
1930,95,521,328,157,109,-42.15,2.80,-807.36,-10259.22,11951.64,-426.05,-41.51,114.43
1940,96,521,328,157,109,-42.30,2.79,-807.40,-10295.86,11944.26,-429.00,-39.33,123.61
1950,96,521,329,158,109,-42.25,2.78,-807.03,-10324.06,11938.65,-399.30,-37.57,127.88
1960,96,521,327,157,109,-42.22,2.80,-809.07,-10329.66,11933.31,-387.88,-38.29,133.04
1970,97,521,328,157,109,-42.35,2.78,-801.62,-10345.78,11919.85,-400.39,-46.47,136.13
1980,96,521,327,158,109,-42.43,2.70,-796.74,-10365.29,11898.45,-391.52,-57.30,133.83
1990,96,521,328,157,109,-42.49,2.70,-791.70,-10370.82,11871.13,-384.74,-53.38,131.94
2000,96,521,328,157,109,-42.54,2.68,-784.72,-10385.08,11859.37,-380.56,-52.76,136.89
2010,96,521,328,157,109,-42.56,2.70,-786.48,-10401.23,11846.20,-367.03,-54.38,139.00
2020,95,521,329,157,108,-42.59,2.68,-782.36,-10415.57,11835.49,-359.88,-56.76,140.55
2030,96,521,328,157,109,-42.62,2.69,-783.84,-10432.19,11826.32,-353.53,-58.17,143.87
2040,95,521,328,157,109,-42.68,2.67,-783.65,-10453.58,11816.40,-348.61,-60.86,144.52
2050,96,521,327,157,109,-42.80,2.65,-781.27,-10481.30,11801.98,-335.98,-63.22,141.20
2060,96,520,329,157,108,-42.83,2.63,-780.00,-10495.83,11782.68,-326.63,-65.01,135.64
2070,95,521,328,157,108,-42.88,2.64,-776.20,-10509.04,11767.55,-319.25,-63.91,130.91
2080,95,521,329,157,108,-42.88,2.66,-772.59,-10508.99,11751.77,-314.53,-57.76,126.21
2090,95,521,328,157,107,-42.98,2.69,-777.36,-10519.34,11736.78,-324.11,-51.32,123.05
2100,96,521,328,158,108,-42.98,2.72,-768.49,-10536.17,11716.94,-301.95,-37.36,116.15
2110,96,521,328,157,108,-42.94,2.76,-772.87,-10531.16,11708.69,-292.15,-27.84,109.29
2120,96,521,327,158,109,-42.98,2.79,-774.63,-10535.01,11705.06,-308.60,-21.00,109.58
2130,95,521,327,157,108,-43.02,2.79,-766.49,-10561.66,11696.81,-292.17,-17.05,107.30
2140,96,521,329,158,108,-43.00,2.81,-760.37,-10563.37,11692.97,-282.61,-6.15,106.28
2150,96,521,328,157,109,-43.11,2.85,-761.15,-10570.00,11680.52,-298.63,5.41,106.87
2160,96,521,328,157,109,-43.27,2.86,-761.69,-10576.50,11675.89,-331.10,11.39,107.78
2170,95,521,328,158,109,-43.49,2.87,-762.41,-10589.28,11663.10,-373.04,16.47,113.89
2180,95,521,328,156,109,-43.78,2.86,-756.89,-10603.41,11656.94,-430.59,20.90,116.19
2190,96,521,329,158,109,-44.12,2.84,-750.44,-10622.24,11644.09,-503.81,22.20,116.58
2200,95,521,328,158,109,-44.48,2.83,-750.12,-10662.73,11629.89,-559.57,18.74,117.65
2210,95,521,328,157,110,-44.70,2.78,-742.42,-10711.79,11609.79,-564.44,17.41,114.92
2220,96,521,328,157,109,-44.78,2.78,-736.69,-10741.80,11587.30,-539.72,25.29,106.67
2230,96,521,328,157,108,-44.80,2.80,-736.86,-10759.31,11570.94,-523.03,35.47,97.54
2240,96,520,329,158,109,-44.86,2.79,-737.62,-10791.15,11562.99,-504.03,32.75,86.81
2250,95,520,328,157,109,-44.82,2.82,-733.94,-10811.19,11543.24,-467.83,37.56,72.92
2260,95,521,327,158,109,-44.81,2.86,-741.04,-10821.03,11531.08,-453.14,40.68,59.03
2270,96,521,329,158,109,-44.88,2.87,-736.39,-10838.18,11510.13,-440.33,42.25,45.83
2280,96,521,329,158,109,-44.87,2.86,-733.97,-10846.07,11489.02,-415.01,48.89,34.53
2290,96,521,329,158,109,-44.82,2.90,-732.67,-10844.57,11470.97,-393.46,64.59,26.41
2300,95,521,328,157,109,-44.83,2.94,-735.44,-10865.14,11463.22,-377.24,69.66,18.39
2310,95,521,329,157,109,-44.85,2.98,-738.86,-10876.28,11448.46,-364.73,80.43,14.22
2320,96,521,329,158,109,-44.89,3.00,-735.32,-10889.27,11437.24,-360.89,85.51,8.56
2330,96,521,329,157,109,-44.94,2.99,-730.16,-10917.20,11427.37,-356.25,89.93,3.03
2340,96,521,328,158,109,-44.97,2.99,-731.85,-10929.34,11410.41,-344.34,94.84,-7.07
2350,96,521,328,158,109,-45.06,2.98,-726.66,-10937.87,11394.49,-350.47,97.94,-11.47
2360,96,521,329,158,109,-45.16,2.97,-722.12,-10960.78,11384.36,-351.90,104.25,-20.45
2370,96,521,329,158,108,-45.17,2.98,-719.82,-10973.34,11370.14,-336.90,111.98,-29.22
2380,96,521,329,158,109,-45.19,2.99,-721.23,-10975.67,11357.24,-331.86,115.29,-37.21
2390,96,521,327,158,109,-45.23,2.97,-721.96,-10973.69,11349.97,-345.56,108.22,-40.45
2400,96,521,328,158,109,-45.32,2.89,-721.27,-11002.21,11343.27,-336.13,95.46,-40.93
2410,96,521,329,158,109,-45.25,2.88,-722.00,-10997.70,11331.91,-304.38,93.49,-44.73
2420,95,521,328,158,108,-45.35,2.88,-718.50,-11007.41,11312.51,-311.31,97.11,-45.80
2430,96,521,328,158,109,-45.47,2.94,-724.18,-11036.04,11301.69,-311.34,106.11,-51.76
2440,95,521,328,158,109,-45.52,2.96,-724.17,-11042.84,11281.40,-305.08,112.65,-59.12
2450,95,520,329,158,109,-45.59,2.99,-727.96,-11055.10,11266.93,-306.22,117.72,-63.76
2460,95,521,329,158,109,-45.65,3.01,-725.36,-11055.34,11250.99,-313.51,125.08,-66.37
2470,95,520,328,158,109,-45.68,3.03,-722.69,-11064.77,11240.64,-309.59,135.43,-62.36
2480,95,520,329,157,109,-45.66,3.03,-718.36,-11057.53,11230.20,-299.21,138.11,-52.14
2490,95,521,327,158,109,-45.67,3.09,-730.04,-11064.06,11237.49,-298.20,142.30,-42.23
2500,95,520,328,158,108,-45.74,3.05,-727.94,-11080.25,11226.42,-292.44,133.84,-35.37
2510,95,521,327,157,109,-45.75,3.05,-737.14,-11111.84,11231.50,-276.06,126.20,-32.05
2520,95,521,323,158,109,-45.63,3.01,-743.88,-11120.85,11230.12,-228.61,112.99,-37.50
2530,94,521,326,157,108,-45.42,2.94,-762.69,-11131.21,11233.82,-181.63,69.64,-41.97
2540,94,521,326,158,108,-45.36,2.72,-745.76,-11094.25,11220.12,-185.50,34.50,-37.52
2550,93,521,325,157,108,-45.50,2.60,-721.67,-11102.33,11203.92,-205.57,31.63,-7.55
2560,93,521,323,157,108,-45.44,2.63,-720.58,-11129.42,11200.72,-174.25,44.70,7.68
2570,93,521,323,157,107,-45.25,2.53,-717.36,-11114.75,11198.69,-138.98,21.01,15.65
2580,92,521,323,157,107,-45.26,2.45,-713.29,-11107.61,11202.15,-149.03,-0.54,23.21
2590,92,521,323,158,107,-45.40,2.36,-707.02,-11104.03,11196.44,-179.18,-25.01,32.15
2600,92,521,323,157,108,-45.63,2.24,-686.27,-11145.23,11183.42,-198.82,-29.51,34.14
2610,92,522,322,157,107,-45.67,2.19,-668.56,-11161.76,11177.05,-191.33,-21.48,25.64
2620,92,522,324,157,106,-45.77,2.15,-661.73,-11175.88,11169.00,-203.02,-24.76,29.31
2630,92,522,322,158,107,-45.80,2.04,-657.04,-11197.68,11167.55,-198.81,-49.42,30.34
2640,91,522,323,157,108,-45.79,1.93,-642.59,-11204.40,11159.77,-188.22,-65.20,31.32
2650,92,522,324,158,108,-45.84,1.79,-617.06,-11191.18,11136.78,-198.16,-72.79,33.16
2660,92,522,324,157,108,-45.99,1.86,-607.41,-11202.22,11121.14,-216.15,-57.60,43.20
2670,91,522,324,157,108,-46.04,1.84,-609.44,-11225.11,11107.49,-204.10,-65.22,46.99
2680,92,521,324,157,108,-46.10,1.81,-600.97,-11242.85,11093.71,-192.49,-65.91,43.99
2690,92,522,323,157,107,-46.12,1.81,-604.12,-11255.71,11095.43,-186.97,-72.87,34.19
