timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,202,529,505,235,198,-5.87,-62.30,14398.04,-780.58,7543.28,-17.10,-12.98,-107.12
10,202,529,506,235,198,-5.83,-62.36,14398.94,-780.95,7529.11,2.40,-23.28,-107.16
20,202,530,505,236,198,-5.78,-62.44,14401.99,-779.51,7519.66,15.93,-33.07,-103.25
30,202,529,505,236,198,-5.79,-62.48,14400.89,-782.13,7517.07,24.19,-43.36,-100.89
40,202,529,506,236,198,-5.75,-62.53,14402.45,-773.63,7514.82,26.33,-47.65,-104.25
50,202,530,505,236,198,-5.76,-62.56,14405.93,-771.94,7505.88,20.91,-45.66,-103.68
60,203,529,505,236,198,-5.73,-62.61,14406.63,-762.15,7489.19,13.56,-41.58,-112.60
70,202,530,505,236,198,-5.69,-62.60,14401.70,-754.04,7477.33,-7.36,-32.80,-125.12
80,202,529,505,235,198,-5.68,-62.64,14406.81,-741.74,7466.06,-22.05,-16.66,-131.16
90,202,529,506,236,198,-5.71,-62.52,14404.87,-743.25,7461.16,-22.24,19.92,-127.75
100,202,530,506,236,198,-5.66,-62.36,14390.03,-741.69,7476.30,-14.08,38.83,-127.22
110,202,530,506,236,198,-5.58,-62.29,14384.53,-732.20,7491.08,-13.53,38.28,-120.36
120,203,529,505,236,198,-5.61,-62.23,14377.10,-731.19,7501.13,-19.60,33.57,-106.79
130,202,529,506,236,198,-5.64,-62.17,14369.24,-747.43,7517.87,-3.87,20.74,-76.50
140,201,529,505,236,198,-5.21,-62.28,14348.78,-729.86,7504.98,24.37,8.75,-57.07
150,201,529,505,236,198,-4.94,-62.33,14344.54,-703.57,7497.13,19.65,0.22,-57.42
160,201,529,506,235,198,-5.06,-62.32,14342.91,-707.39,7490.87,4.47,9.26,-45.45
170,201,529,506,236,199,-5.18,-62.35,14346.77,-720.22,7484.13,13.60,17.69,-34.13
180,201,529,505,236,198,-5.26,-62.35,14349.03,-723.01,7469.72,13.52,24.16,-25.37
190,201,529,506,236,198,-5.53,-62.39,14354.18,-741.06,7464.44,6.89,18.35,-20.85
200,201,529,506,236,198,-5.57,-62.48,14368.47,-744.41,7447.21,12.25,20.98,-19.81
210,201,529,505,236,198,-5.56,-62.51,14367.04,-740.79,7438.25,9.04,23.78,-25.07
220,201,529,506,236,199,-5.65,-62.54,14371.49,-741.75,7435.94,-5.07,20.84,-34.32
230,201,529,506,236,199,-5.67,-62.51,14378.12,-738.46,7435.94,-8.96,30.55,-32.10
240,202,529,505,236,198,-5.76,-62.51,14370.41,-745.14,7436.55,-24.57,36.52,-36.14
250,201,529,506,236,198,-5.74,-62.50,14372.49,-741.68,7435.72,-35.39,38.45,-51.79
260,202,529,506,236,199,-5.83,-62.46,14377.66,-740.20,7443.13,-62.67,41.48,-68.70
270,201,529,506,236,198,-6.00,-62.41,14379.18,-749.99,7452.98,-84.18,41.20,-73.41
280,201,528,506,236,198,-6.08,-62.39,14372.82,-753.49,7464.33,-94.42,29.69,-75.04
290,202,528,506,236,198,-6.10,-62.41,14370.98,-757.41,7477.51,-97.35,4.21,-83.84
300,201,528,506,235,198,-6.00,-62.50,14383.83,-749.74,7485.43,-98.44,-26.70,-90.40
310,201,528,506,236,198,-5.82,-62.58,14378.44,-723.85,7483.76,-113.71,-44.37,-96.28
320,202,528,506,236,199,-5.83,-62.67,14380.92,-723.86,7474.77,-107.03,-53.85,-96.51
330,202,528,505,236,198,-5.63,-62.72,14378.67,-707.47,7481.64,-91.08,-68.31,-92.84
340,202,528,506,236,198,-5.69,-62.84,14393.14,-700.90,7469.35,-101.67,-75.94,-93.35
350,201,528,506,236,199,-6.03,-62.95,14414.88,-724.65,7458.89,-112.29,-80.14,-84.13
360,201,528,505,236,198,-6.31,-62.98,14434.34,-759.82,7453.54,-87.48,-82.34,-76.82
370,201,528,505,235,198,-6.46,-62.92,14441.42,-779.03,7460.46,-74.60,-74.42,-79.93
380,201,527,505,236,198,-6.46,-62.87,14436.95,-792.68,7474.64,-44.72,-86.20,-100.89
390,201,527,505,235,198,-6.22,-62.85,14435.90,-778.64,7487.71,-15.84,-98.74,-126.09
400,201,527,505,235,198,-5.97,-62.88,14427.71,-752.51,7489.92,-11.39,-114.90,-160.49
410,201,526,505,235,198,-5.74,-63.00,14416.32,-731.88,7474.63,-4.67,-135.81,-186.16
420,200,527,505,235,198,-5.35,-63.12,14407.30,-704.09,7458.10,20.36,-157.72,-198.30
430,200,526,505,235,198,-4.99,-63.27,14403.14,-669.29,7424.59,34.04,-169.38,-200.74
440,200,526,505,235,198,-4.79,-63.42,14400.58,-646.22,7392.36,30.09,-176.11,-190.65
450,200,526,505,235,198,-4.72,-63.58,14401.55,-635.31,7355.94,38.14,-179.46,-175.77
460,200,526,505,235,198,-4.67,-63.67,14407.47,-633.14,7332.75,54.58,-177.93,-164.03
470,200,526,505,236,198,-4.65,-63.74,14420.10,-629.09,7309.91,54.70,-167.44,-145.73
480,199,526,505,235,198,-4.79,-63.75,14431.30,-638.23,7298.81,57.76,-156.12,-127.29
490,199,526,505,235,198,-4.81,-63.75,14452.13,-647.12,7292.07,82.43,-141.96,-117.23
500,199,525,505,235,198,-4.81,-63.73,14457.52,-645.77,7287.07,89.86,-124.06,-116.37
510,199,525,505,235,198,-4.86,-63.70,14469.85,-651.48,7295.92,104.16,-118.21,-128.55
520,199,524,505,235,198,-4.46,-63.77,14482.16,-628.70,7288.72,123.00,-116.25,-141.32
530,199,524,505,235,198,-4.13,-63.89,14503.85,-595.47,7266.08,114.60,-115.79,-152.95
540,199,524,505,235,198,-3.98,-63.97,14522.66,-577.49,7238.58,110.42,-101.75,-160.61
550,198,524,505,235,198,-3.72,-63.99,14529.32,-556.82,7211.85,139.80,-79.31,-157.53
560,199,524,505,235,199,-3.38,-63.95,14527.46,-531.18,7208.46,161.61,-68.64,-156.85
570,199,524,505,235,198,-3.27,-63.94,14531.88,-511.82,7200.04,144.03,-63.81,-158.11
580,199,524,505,235,198,-3.36,-63.96,14530.29,-518.03,7195.63,135.68,-64.77,-159.85
590,199,524,505,235,198,-3.26,-64.01,14527.17,-506.53,7178.25,135.50,-56.33,-163.31
600,198,524,505,235,199,-3.21,-64.05,14515.82,-496.80,7162.94,130.82,-56.82,-158.89
610,198,524,505,235,198,-3.23,-64.06,14515.22,-491.96,7156.19,119.43,-60.12,-155.15
620,198,523,505,235,198,-3.19,-64.09,14514.06,-480.96,7140.18,111.01,-56.02,-141.14
630,197,523,505,235,198,-3.19,-64.19,14512.96,-476.51,7119.17,108.61,-60.27,-127.19
640,197,523,505,235,198,-3.08,-64.23,14515.71,-459.89,7098.21,104.93,-55.10,-116.08
650,197,523,505,235,198,-3.03,-64.22,14518.52,-449.89,7091.50,95.18,-47.15,-109.97
660,197,523,505,235,198,-2.98,-64.22,14523.60,-437.60,7083.13,76.12,-36.74,-100.62
670,197,523,504,235,198,-3.06,-64.22,14537.02,-439.52,7079.37,55.57,-27.60,-95.59
680,197,523,505,235,198,-3.18,-64.18,14548.17,-446.94,7080.60,45.44,-8.02,-99.71
690,198,523,505,235,198,-3.09,-64.14,14549.36,-442.60,7085.37,48.17,2.18,-95.78
700,198,523,505,235,198,-2.97,-64.15,14550.29,-425.27,7088.70,38.36,-2.73,-93.89
710,198,522,505,235,198,-2.86,-64.19,14558.58,-411.60,7078.47,35.04,0.20,-81.09
720,198,522,505,235,198,-2.85,-64.19,14566.25,-407.22,7076.95,44.84,13.29,-63.24
730,198,522,505,235,198,-2.97,-64.19,14569.13,-412.06,7073.30,54.15,26.38,-44.88
740,198,522,505,235,198,-2.94,-64.17,14568.08,-410.06,7071.23,78.24,36.36,-33.58
750,198,522,505,235,198,-2.89,-64.15,14572.87,-404.96,7062.27,79.68,46.14,-32.20
760,198,522,505,235,198,-3.08,-64.12,14576.03,-415.71,7063.96,62.84,49.74,-32.59
770,198,522,505,235,198,-3.33,-64.05,14575.23,-428.52,7069.16,48.70,60.70,-42.31
780,197,522,505,235,198,-3.49,-64.00,14571.47,-432.90,7069.30,38.62,66.56,-52.65
790,198,522,505,235,198,-3.42,-63.95,14574.29,-426.05,7072.84,33.79,73.19,-62.07
800,198,522,505,235,198,-3.30,-63.89,14576.58,-415.35,7077.59,23.90,89.18,-69.71
810,197,522,505,236,198,-3.18,-63.84,14576.15,-402.78,7077.51,17.40,104.52,-67.68
820,198,522,505,235,198,-2.92,-63.73,14565.34,-385.84,7086.24,21.98,119.54,-68.19
830,198,522,505,236,198,-2.68,-63.61,14554.87,-360.55,7099.73,31.78,135.21,-60.48
840,198,522,505,236,198,-2.50,-63.53,14542.73,-351.72,7113.14,50.74,142.30,-48.11
850,198,522,505,236,199,-2.20,-63.47,14535.79,-328.34,7116.68,65.96,152.09,-32.50
860,198,522,505,235,198,-2.06,-63.41,14524.40,-317.52,7125.05,77.36,153.28,-13.83
870,198,522,505,235,198,-2.00,-63.44,14524.78,-312.64,7123.20,83.69,152.27,9.21
880,197,522,505,235,198,-2.13,-63.45,14520.74,-325.21,7129.44,92.91,140.91,38.55
890,197,522,505,235,198,-2.35,-63.49,14526.91,-337.75,7128.36,74.56,132.16,59.07
900,197,522,505,235,198,-2.80,-63.50,14529.36,-374.06,7132.15,65.63,117.25,71.02
910,197,522,505,235,198,-2.92,-63.57,14524.09,-393.16,7145.74,76.15,88.34,70.17
920,197,522,505,235,198,-2.92,-63.72,14521.69,-385.70,7143.85,57.84,52.47,63.61
930,198,522,505,236,198,-2.90,-63.84,14522.00,-378.42,7136.06,42.55,25.25,62.58
940,197,522,505,235,198,-2.71,-63.96,14518.90,-360.70,7120.66,37.62,10.39,69.25
950,197,522,505,235,198,-2.68,-64.04,14522.96,-353.86,7105.42,28.64,2.72,91.24
960,196,522,505,235,198,-2.76,-64.15,14530.01,-358.77,7086.55,23.96,1.78,111.53
970,197,522,505,235,198,-2.85,-64.14,14541.51,-363.43,7085.82,12.46,18.34,121.30
980,197,522,505,235,198,-3.06,-64.07,14550.83,-378.46,7084.53,-5.26,39.03,125.29
